,result,title,explain
5692,1287, 린나이 세대 초월  인덕션과 가스레인지를 한번에  한국 맞춤형 주방기구,장시간 조리가 필요한 한국의 조리법과 아름답고  사용이 편한 인덕션의 장점을 린나이 최고의 기술과 정제된 디자인을 담은 프리스티지 주방가전  쥬벨 이 선보입니다 
5981,160,글로벌 7억펀딩  줄을 당기면 알아서 따라오는 스마트웨건 한국시장 진출,요즘 누가 힘들게 짐옮기나요  2021년 나들이에 전동웨건 하나쯤은 괜찮잖아요  선 하나만 당기면 졸졸 따라오는 신개념 웨건을 소개합니다 
6214,3910, 4억앵콜 글로벌52억  레이저커터 각인기의 끝판왕  Cubiio2,킥스타터 제작툴 카테고리 역사적 펀딩액 달성  1세대 기록을 갈아치우고 더 강력해져 돌아온 큐비오2  재료의 한계를 뛰어넘어 당신이 상상한 모든 것을 창조하세요 
6247,35, 설거지혁명  수압식 식기세척기에 초음파 세척 기능을 더한  에코네이도 ,매번 번거롭게 정리해서 넣어야 하는 불편함  매번 허리 숙여 청소해야 하는 불편함  복잡해서 제대로 사용하지 못한 비싼 가전제품 에코네이도가 모든 고민 한방에 해결하겠습니다 
6316,10,어  예쁘다  가구를 닮은 자동판매기 ETC,어  예쁘다  가구를 닮은 자판기
6463,1051, 완벽한 캠핑을 위한 선택  ANKER 솔라  휴대용  스마트 빔프로젝터,캠핑 차박 홈캉스의 즐거움을 높여줄 휴대용 빔프로젝터 네뷸라 솔라  무선 3시간 연속 재생과 넷플릭스  왓챠 등 안드로이드 무료 앱을 즐길 수 있는 스마트 빔프를 만나보세요 
6931,20,필립스 130년 기술력 SARS CoV2 세균 박멸 UV C에어살균기,이 보다 더 확실한 공기케어는 없다  공기살균 기술의 집약체  필립스 UV C 에어살균기
7751,1849, 가볍게 시작하는 영화촬영  SIRUI50mm풀프레임 애너모픽렌즈,SIRUI 50mm 풀프레임 애너모픽렌즈 펀딩 프로젝트입니다  합리적인 예산으로 접근 가능한 애너모픽 렌즈로써  높은 퀄리티와 특유의 아름다운 영상 촬영이 가능합니다 
8503,17, IoT홈트기기  미트니스  전문 트레이너들이 우리집 거울 속으로 ,거울 하나 펀딩했을 뿐인데  전문 트레이너들이 우리집을 찾아왔다  올바른 자세 확인부터 고퀄리티 수업까지 다 가능한 미트니스  이제 미트니스로 집에서도 제대로 운동할게요 
8782,233, 인덕션  9개의 화구로 조리구역을 자유롭게  독일 블롬베르크 올플렉스9,3구  4구  그동안  고정된  화구에서 불편하게 요리하셨나요  조리구역을 꽉 채운 9개의 화구로 기존 인덕션의 한계를 넘었습니다   올플렉스 로 더 자유롭고 편리한 요리생활 
8790,11163,전기차도 LFP베터리가 대세  안전하고 강력한 초대용량 파워 스테이션 ,1228Wh의 초대용량  전기차 배터리도 이제는 LFP가 대세  캠핑  차박에서 언제든 활약하는 엘레일스 E1200 파워 스테이션 
8823,1502,TV의 선명함  프로젝터의 광대함  액정 스크린과 EPSON의 만남 ,TV와 빔프로젝터의 결합  프리미엄 액정 SCREEN  BORDER와 글로벌 기업 EPSON이 만나 한국에서 처음으로 콜라보 런칭합니다  디스플레이의 새로운 기준  놓치지 마세요
8830,4,캠핑   차박 필수품 휴대용 배터리 7 5Kg 무게에 788Wh 대용량,파워로드 포터블 배터리 국내 최초 와디즈 런칭 와디즈 펀딩에 한하여 1 500시간 사용기준  품질 보증 7 5kg 가벼운 무게 대용량 리튬이온 배터리 788Wh
9026,1785, 명품은 명품으로 관리하세요  스위스 명품다리미 로라스타 1980 에디션,스위스 명품 스팀다리미 로라스타의 40주년 기념 에디션으로 선보이는 신상품 1980에디션은 모든소재의 의류를 케어하며 라이프스타일의 새로운 패러다임을 제시합니다 
10566,107, 안마기의 혁신  층간소음 걱정없이 편안하게  전신 안마기 올인원 마사져,고장  층간소음 걱정없이 집 안에서도 편안하게 사용할 수 있는 전신 안마기  올인원 마사져  국내부품  국내생산으로 더욱 안전하게 마사지 해보세요 
11402,1730, 광각 깡패  세상을 더 넓게 담기  라오와 9mm 초광각 렌즈,풀프레임 미러리스 카메라를 위한 가장 넓은 광각렌즈  Laowa 9mm f5 6 FF RL을 소개합니다  더 넓은 세상을 담아보세요 
11709,0, 발열STOP  이상체온 알아서 잡아내는 똑똑한 안전지킴이,최근 코로나19로 인해 모든분야에서의 불편함이 크게 지속되고 있습니다  이를 계기로 모든 공간에서 쉽고 간편하게 발열체크 및 출입관리가 가능한 열화상 카메라 개발에 착수했습니다 
11845,3019,음식에도 프린트가 가능하다고요   EVEBOT 신제품 커피 프린터,자신만의 시그니처  로고  귀여운 그림까지  다양한 아이디어를 음식위에 표현해보세요  매일 아침 마시는 커피에도  달콤한 마카롱에도  생일 축하 케익에도 푸드 프린터가 함께합니다 
15983,3703, 글로벌6억  홈 로스팅을 완전히 바꿀  원두 로스터의 혁명   샌드박스,복잡다단한 홈 로스팅  길잡이가 필요하지 않으신가요  APP을 이용해 기본 로스팅 부터 전문 로스팅까지 구현합니다  합리적인 가격과 세련된 디자인까지 모두 완비한 스마트 로스터 
16322,4233, 글로벌48억  레이저 커터 각인기의 끝판왕  Cubiio2,킥스타터 제작툴 카테고리 역사적 펀딩액 달성  1세대 기록을 갈아치우고 더 강력해져 돌아온 큐비오2  재료의 한계를 뛰어넘어 당신이 상상한 모든 것을 창조하세요 
16845,939, 글로벌19억  초광각 영화촬영이 가능한 SIRUI 24mm애너모픽 렌즈, 글로벌펀딩 19억 달성  광각으로 만나는 영화 같은 영상 SIRUI 24mm 애너모픽 렌즈 
19176,2000, 50대 한정수량  스위스 프리미엄 스팀다리미 로라스타 리프트플러스,다리미계의 명품으로 불리고 있는 로라스타   기술의 한계에 도전하고 있는 스위스 프리미엄 로라스타 스팀다리미를 경험해 보세요 
19243,4360, 280  앵콜  꿈의 금속스피커 실현  이중관특허기술,금속 재질의 이중관 기술을 이용하여  자연음 그대로 들을 수 있는 차원이 다른 메탈로 스피커 크롬아리아 It s real sound made by Cromaria
20844,12820, 바디프랜드 M  EMS 트레이닝으로 몸매 고민 이제 STOP ,몸매  온 몸 살 고민 이제 그만  M  EMS 트레이닝 슈트와 함께 EMS 운동으로 관리하세요 
21058,50,닥터오라클 LED 마스크  LED 마스크를 다시 말하다 ,7가지 색 무지개 빛으로 종합적인 피부관리를 해드리는 레인보우 LED 마스크
22859,5790,당신의 상상을 현실로 만들어 줄 대형3D프린터의 혁명 C600플러스,누구나  3D프린터로  꿈에도 상상못할 적은 비용으로 충분합니다  당신의 상상을 실현시켜줄 가성비 끝판왕 대형3D프린터 C600플러스  가격 서비스 성능 품질 모두 자신있습니다 
22997,0,우리 집 매트리스를 간단하게 모션 베드로 바꾸는 방법,가지고 계신 매트리스로 나의 수면상태를 이해해주는 스마트 모션 베드로 만들어보세요
23485,10700, 바디프랜드  M  EMS 트레이닝으로 몸매 고민 이제 STOP ,몸매  온 몸 살 고민 이제 그만  M  EMS 트레이닝 슈트와 함께 EMS 운동으로 관리하세요 
23579,6990,온 집안을 누비는 공기청정로봇  에코백스  애트모봇 프로 ,집안 곳곳을 스스로 돌아다니며 실내 공기를 맑게 하는 공기청정로봇을 보신 적 있으신가요  와디즈 국내 최초 런칭 자율주행 공기청정로봇 에코백스 애트모봇 프로를 만나 보세요 
23958,4170,시대를 앞서가는 환기솔루션  Ai 환기청정기 웨이븐 WAVEN ,IoT 인공지능으로  진정한 쾌적함을 유지하는 환기솔루션 웨이븐  
24081,1700, Bellperre 처음 만나는 럭셔리 케이스,Holland 감성과 최고급 소재의 만남으로 완성된 아름다움을 직접 확인하세요 
25524,1550,AME Radioso 라디오소 정전형 이어폰 앵콜 이젠 커스텀으로 가자,AME Radioso 라디오소 리워드 펀딩 앵콜 이젠 커스텀으로 가자  새로이 적용된 유니버셜 쉘과 아트   커스텀 이어폰 동시 진행
25857,2970, 홈트의 혁신 우리 집을 피트니스 스튜디오로 피버 바이크 ,피버 바이크   여러분의 집을 최고의 싸이클 스튜디오로 만들어 보세요  신용보증기금 파트너와 함께합니다 
25923,4050,가장 엄격하고 까다로운 유럽규격EN1822를 통과한 공기청정기 에어리스 ,공기청정기에 바라는 모든것  aeris 에어리스   하나면 충분합니다  스위스 공기청정기 전문업체 aeris의 대표제품 aair를 와디즈를 통해 국내 최초로 출시합니다 
26740,2010,당신이 잠든사이  숙면을 위해 움직이는 미래형 IoT매트리스 아이오베드 ,당신이 잠든 사이  매트리스가 능동적으로 움직여서 편안한 잠자리를 만들어주는 세상  당신이 원하는 푹신함을 조절할 수 있는 세상  미래형 IoT 매트리스  아이오베드 
26956,70,스위스 전통 아날로그 감성을 품은 아웃도어 스마트워치,1883년에 설립된 스위스 전통 시계 제조업체인 Alpina에서 출시한 자외선 측정 센서를 탑재한 아웃도어 스마트워치  AlpinerX 
27110,120,10G Base t Ethernet Switch,대중적인 10G Base T managed Ethernet switch를 출시하고자 합니다  광 cable을 사용하지 않아서  경제성과 편리성이 장점입니다 
27918,2060,무료 프로그램   교육  누구나 도전 가능한 목공 CNC 키트,미국에서 시작된 목공의 혁신  한국에도 왔습니다  파격적인 가격  무료 프로그램 및 교육 지원으로 누구나 목공 접근 가능  마슬로 CNC를 도전해보세요 
28779,50,쉽고 정교한 스페셜티 커피  엑셀소 스마트 사이폰브루잉 빔 히터,맛의 정확함과 감성으로 다가오는 스페셜티 커피  소통하는 커피 엑셀소 스마트 사이폰 브루잉 빔 히터 EXCELSO SMART SYPHON BREWING BEAM HEATER
29218,2120, AME  커스텀 이어폰의 새로운 강자 대한민국에서 탄생했습니다 ,AME RADIOSO 정전형 이어폰 80khz 이상 재생 가능한 4개의 정전형 드라이버를 사용 극 고역까지 재생되는 하이레졸루션 Hi Res  이어폰으로 Hi Res 인증예정  1인창조기업 파트너와 함께합니다 
29594,180,아름다운 공간을 위한 나만의 원목 컴퓨터, 완벽한 인테리어를 원하는 당신  아름다운 공간을 위한 나만의 원목 컴퓨터
29862,4, 인텐스 오토히터  추운 겨울이면 찾아오는 한파  이젠 두렵지 않아요,난방비 걱정 뚝  추위걱정 뚝  화재 안전 짱  열효율 짱  국내 특허 제품  인텐스 오토 히터   쏠트렌 FDA  320  으로 추운 겨울을 이겨내다 
29991,18,헬스클럽을 넷플릭스처럼  FEVER,여러분의 집을 최고의 싸이클링 클럽으로 만들어보세요 
